date,lat[unit="degrees_north"],lon[unit="degrees_east"],cft[unit="1"],dir[unit="degree"],mod[unit="m s-1"],prec[unit="kg m-2"],rh[unit="1"],t2m[unit="K"],u[unit="m s-1"],v[unit="m s-1"]
2012-03-07T13:00:00Z,43.339286234347675,-5.858834520544583,1.0,317.67996,3.6106026,0,0.57630306,289.1,2.4309156,-2.6696632
2012-03-07T14:00:00Z,43.339286234347675,-5.858834520544583,1.0,301.47052,2.9996812,0,0.5835606,289.55618,2.5584545,-1.5660132
2012-03-07T15:00:00Z,43.339286234347675,-5.858834520544583,1.0,335.88956,5.109053,0,0.66403043,288.94318,2.0870337,-4.663337
2012-03-07T16:00:00Z,43.339286234347675,-5.858834520544583,1.0,309.87305,3.5397663,0,0.77806115,287.15936,2.7166529,-2.2693043
2012-03-07T17:00:00Z,43.339286234347675,-5.858834520544583,1.0,310.43973,2.9935052,0,0.87969816,285.88718,2.2783227,-1.941731
2012-03-07T18:00:00Z,43.339286234347675,-5.858834520544583,1.0,294.16934,4.297841,0,0.9223539,284.99057,3.921089,-1.7596875
2012-03-07T19:00:00Z,43.339286234347675,-5.858834520544583,1.0,292.82922,4.5380945,0.105000004,0.9382215,284.6581,4.182605,-1.7607154
2012-03-07T20:00:00Z,43.339286234347675,-5.858834520544583,1.0,303.12308,5.056407,0.597,0.9663746,284.52194,4.234734,-2.76302
2012-03-07T21:00:00Z,43.339286234347675,-5.858834520544583,1.0,339.28937,5.2853336,0.62899995,0.95711017,284.08487,1.8691504,-4.9437866
2012-03-07T22:00:00Z,43.339286234347675,-5.858834520544583,1.0,341.84167,4.393019,0,0.94176835,283.40976,1.3690552,-4.174243
2012-03-07T23:00:00Z,43.339286234347675,-5.858834520544583,1.0,355.10712,3.580325,0.116999984,0.9374875,282.97476,0.30537596,-3.567278
2012-03-08T00:00:00Z,43.339286234347675,-5.858834520544583,1.0,356.63043,3.114366,0,0.95769453,282.62988,0.18305176,-3.1089818
2012-03-08T01:00:00Z,43.339286234347675,-5.858834520544583,1.0,25.203506,2.259596,0,0.936339,282.17645,-0.96221435,-2.0444849
2012-03-08T02:00:00Z,43.339286234347675,-5.858834520544583,1.0,33.7681,2.4846313,0,0.975256,281.42676,-1.3810401,-2.065459
2012-03-08T03:00:00Z,43.339286234347675,-5.858834520544583,1.0,49.333008,2.9822586,0,0.94553643,281.27426,-2.2620728,-1.9434228
2012-03-08T04:00:00Z,43.339286234347675,-5.858834520544583,1.0,63.549442,2.2258945,0,0.9605572,280.60437,-1.9928857,-0.99146974
2012-03-08T05:00:00Z,43.339286234347675,-5.858834520544583,0.77604556,69.487915,2.4173143,0,0.9424089,280.89093,-2.2640526,-0.84703857
2012-03-08T06:00:00Z,43.339286234347675,-5.858834520544583,1.0,62.61964,2.824443,0,0.92810977,280.8537,-2.5080297,-1.2989478
2012-03-08T07:00:00Z,43.339286234347675,-5.858834520544583,0.83,67.88986,2.5010087,0,0.92410165,280.67908,-2.3170898,-0.9413501
2012-03-08T08:00:00Z,43.339286234347675,-5.858834520544583,0.85,72.13548,2.4521961,0,0.9078307,280.71387,-2.3339624,-0.7522534
2012-03-08T09:00:00Z,43.339286234347675,-5.858834520544583,0.87,73.91857,2.1172903,0,0.8634121,281.5137,-2.0344384,-0.5864966
2012-03-08T10:00:00Z,43.339286234347675,-5.858834520544583,0.98439056,85.3867,2.2887774,0,0.7482205,282.79486,-2.2813623,-0.18408692
2012-03-08T11:00:00Z,43.339286234347675,-5.858834520544583,0,86.5247,2.2703934,0,0.67500913,283.77356,-2.2662182,-0.13762695
2012-03-08T12:00:00Z,43.339286234347675,-5.858834520544583,0,62.813805,3.1599908,0,0.63940686,284.90106,-2.810896,-1.4437475
2012-03-08T13:00:00Z,43.339286234347675,-5.858834520544583,0,58.940704,3.7709746,0,0.6283947,285.34506,-3.2303443,-1.9455396
2012-03-08T14:00:00Z,43.339286234347675,-5.858834520544583,0,49.69588,4.6284847,0,0.6500573,285.45825,-3.5297828,-2.993911
2012-03-08T15:00:00Z,43.339286234347675,-5.858834520544583,0,60.96091,4.5635724,0,0.6670001,285.27426,-3.9898803,-2.2151856
2012-03-08T16:00:00Z,43.339286234347675,-5.858834520544583,0,65.2253,4.5463443,0,0.6871547,284.68045,-4.12791,-1.9051514
2012-03-08T17:00:00Z,43.339286234347675,-5.858834520544583,0.76,67.368996,4.538982,0,0.744223,283.42838,-4.18949,-1.7465771
2012-03-08T18:00:00Z,43.339286234347675,-5.858834520544583,0.76,73.96488,4.40544,0,0.78564215,281.81793,-4.2340355,-1.2168994
2012-03-08T19:00:00Z,43.339286234347675,-5.858834520544583,1.0,80.40189,4.2069798,0,0.8091586,280.75626,-4.1480885,-0.70145506
2012-03-08T20:00:00Z,43.339286234347675,-5.858834520544583,1.0,87.93661,4.0890946,0,0.83831793,280.14737,-4.086443,-0.147229
2012-03-08T21:00:00Z,43.339286234347675,-5.858834520544583,1.0,89.22178,4.141151,0,0.833432,279.9468,-4.140769,-0.05624512
2012-03-08T22:00:00Z,43.339286234347675,-5.858834520544583,0.76,88.340164,4.0655293,0,0.8058164,279.7855,-4.063823,-0.11776123
